World_Wide_Web  	1.0 	1.0 0.0 0.0
Florida  	13.0 	2.0 3e-05 1e-05
Texas  	31.0 	3.0 8e-05 1e-05
Ohio  	133.0 	4.0 0.00035 1e-05
New_York  	67.0 	5.0 0.00018 1e-05
Pā_(Māori)  	142.0 	6.0 0.00037 2e-05
.edu  	29.0 	7.0 8e-05 2e-05
Race_and_ethnicity_in_the_United_States_Census  	12.0 	8.0 3e-05 2e-05
U.S._state  	25.0 	9.0 7e-05 2e-05
California  	730.0 	10.0 0.00192 3e-05
Myspace  	2.0 	11.0 1e-05 3e-05
Real_estate  	49.0 	12.0 0.00013 3e-05
Floruit  	94.0 	13.0 0.00025 3e-05
Restaurant  	678.0 	14.0 0.00179 4e-05
Hotel  	1483.0 	15.0 0.00391 4e-05
Nudity  	3.0 	16.0 1e-05 4e-05
United_States  	23.0 	17.0 6e-05 4e-05
Michigan  	68.0 	18.0 0.00018 5e-05
New_Jersey  	159.0 	19.0 0.00042 5e-05
Georgia_(U.S._state)  	166.0 	20.0 0.00044 5e-05
Virginia  	222.0 	21.0 0.00059 6e-05
AOL  	6.0 	22.0 2e-05 6e-05
Illinois  	722.0 	23.0 0.0019 6e-05
Infant  	33.0 	24.0 9e-05 6e-05
Furniture  	17.0 	25.0 4e-05 7e-05
Sex  	8.0 	26.0 2e-05 7e-05
Maryland  	2181.0 	27.0 0.00575 7e-05
Chicago  	184.0 	28.0 0.00048 7e-05
Indiana  	712.0 	29.0 0.00188 8e-05
Recipe  	481.0 	30.0 0.00127 8e-05
Association_football  	199.0 	31.0 0.00052 8e-05
Houston  	242.0 	32.0 0.00064 8e-05
Hospital  	5858.0 	33.0 0.01544 9e-05
Las_Vegas  	80.0 	34.0 0.00021 9e-05
Family_(biology)  	61.0 	35.0 0.00016 9e-05
Colorado  	341.0 	36.0 0.0009 9e-05
Clothing  	173.0 	37.0 0.00046 0.0001
Shoe  	15.0 	38.0 4e-05 0.0001
Arizona  	296.0 	39.0 0.00078 0.0001
Orlando,_Florida  	293.0 	40.0 0.00077 0.00011
Yahoo!  	4.0 	41.0 1e-05 0.00011
