World_Wide_Web  	7.0 	1.0 2e-05 0.0
Florida  	116.0 	2.0 0.00031 1e-05
Texas  	220.0 	3.0 0.00058 1e-05
Ohio  	582.0 	4.0 0.00153 1e-05
New_York  	213.0 	5.0 0.00056 1e-05
Race_and_ethnicity_in_the_United_States_Census  	96.0 	6.0 0.00025 2e-05
Pā_(Māori)  	730.0 	7.0 0.00192 2e-05
.edu  	284.0 	8.0 0.00075 2e-05
U.S._state  	138.0 	9.0 0.00036 2e-05
California  	854.0 	10.0 0.00225 3e-05
Real_estate  	143.0 	11.0 0.00038 3e-05
Myspace  	3.0 	12.0 1e-05 3e-05
Floruit  	413.0 	13.0 0.00109 3e-05
Restaurant  	2051.0 	14.0 0.00541 4e-05
Hotel  	1843.0 	15.0 0.00486 4e-05
Nudity  	17.0 	16.0 4e-05 4e-05
United_States  	74.0 	17.0 0.0002 4e-05
Michigan  	319.0 	18.0 0.00084 5e-05
New_Jersey  	678.0 	19.0 0.00179 5e-05
Georgia_(U.S._state)  	498.0 	20.0 0.00131 5e-05
Virginia  	814.0 	21.0 0.00215 6e-05
Infant  	85.0 	22.0 0.00022 6e-05
Illinois  	1535.0 	23.0 0.00405 6e-05
AOL  	27.0 	24.0 7e-05 6e-05
Furniture  	75.0 	25.0 0.0002 7e-05
Sex  	24.0 	26.0 6e-05 7e-05
Maryland  	1245.0 	27.0 0.00328 7e-05
Chicago  	389.0 	28.0 0.00103 7e-05
Indiana  	1818.0 	29.0 0.00479 8e-05
Recipe  	908.0 	30.0 0.00239 8e-05
Association_football  	432.0 	31.0 0.00114 8e-05
Houston  	793.0 	32.0 0.00209 8e-05
Las_Vegas  	151.0 	33.0 0.0004 9e-05
Hospital  	6937.0 	34.0 0.01828 9e-05
Family_(biology)  	469.0 	35.0 0.00124 9e-05
Colorado  	1129.0 	36.0 0.00298 9e-05
Clothing  	790.0 	37.0 0.00208 0.0001
Arizona  	816.0 	38.0 0.00215 0.0001
Shoe  	112.0 	39.0 0.0003 0.0001
Orlando,_Florida  	734.0 	40.0 0.00193 0.00011
North_Carolina  	366.0 	41.0 0.00096 0.00011
Yahoo!  	2.0 	42.0 1e-05 0.00011
Baseball  	719.0 	43.0 0.0019 0.00011
Alabama  	285.0 	44.0 0.00075 0.00012
Tennessee  	619.0 	45.0 0.00163 0.00012
Tax  	758.0 	47.0 0.002 0.00012
Oregon  	2107.0 	48.0 0.00555 0.00013
Newspaper  	661.0 	49.0 0.00174 0.00013
Wedding  	132.0 	50.0 0.00035 0.00013
Dog  	512.0 	51.0 0.00135 0.00013
Pornography  	13.0 	52.0 3e-05 0.00014
Washington_(state)  	1312.0 	53.0 0.00346 0.00014
Atlanta  	1051.0 	54.0 0.00277 0.00014
Ford_Motor_Company  	241.0 	55.0 0.00064 0.00014
Test_cricket  	804.0 	56.0 0.00212 0.00015
Golf  	958.0 	57.0 0.00253 0.00015
Wholesale  	1502.0 	58.0 0.00396 0.00015
Miami  	1305.0 	59.0 0.00344 0.00016
Gay  	135.0 	60.0 0.00036 0.00016
High_school  	3533.0 	61.0 0.00931 0.00016
English_auxiliaries_and_contractions  	4624.0 	62.0 0.01219 0.00016
Mexico  	465.0 	63.0 0.00123 0.00017
Basketball  	1180.0 	64.0 0.00311 0.00017
Om  	73.0 	65.0 0.00019 0.00017
Dallas  	1393.0 	66.0 0.00367 0.00017
Philadelphia  	2065.0 	67.0 0.00544 0.00018
Los_Angeles  	579.0 	68.0 0.00153 0.00018
Insurance  	1708.0 	69.0 0.0045 0.00018
Pennsylvania  	2334.0 	70.0 0.00615 0.00018
Chevrolet  	352.0 	71.0 0.00093 0.00019
Horse  	183.0 	72.0 0.00048 0.00019
Italy  	367.0 	73.0 0.00097 0.00019
Pregnancy  	139.0 	74.0 0.00037 0.0002
Lawyer  	4703.0 	75.0 0.0124 0.0002
Departments_of_France  	2242.0 	76.0 0.00591 0.0002
England  	202.0 	77.0 0.00053 0.0002
Cat  	794.0 	78.0 0.00209 0.00021
Rent_(musical)  	467.0 	79.0 0.00123 0.00021
Police  	2038.0 	80.0 0.00537 0.00021
Cheats_(film)  	228.0 	81.0 0.0006 0.00021
Motel  	1829.0 	82.0 0.00482 0.00022
Missouri  	1335.0 	83.0 0.00352 0.00022
Tattoo  	14.0 	84.0 4e-05 0.00022
Hair_(musical)  	400.0 	86.0 0.00105 0.00023
Model_(profession)  	1091.0 	87.0 0.00288 0.00023
Louisiana  	1505.0 	88.0 0.00397 0.00023
EBay  	4.0 	89.0 1e-05 0.00023
Discounts_and_allowances  	487.0 	90.0 0.00128 0.00024
Motorcycle  	210.0 	91.0 0.00055 0.00024
Christian  	1218.0 	92.0 0.00321 0.00024
Nursing  	1494.0 	93.0 0.00394 0.00025
Boston  	510.0 	94.0 0.00134 0.00025
Massachusetts  	3767.0 	95.0 0.00993 0.00025
Jewellery  	1227.0 	96.0 0.00323 0.00025
ZIP_code  	107.0 	97.0 0.00028 0.00026
Wisconsin  	4173.0 	98.0 0.011 0.00026
South_Carolina  	904.0 	99.0 0.00238 0.00026
San_Diego  	997.0 	100.0 0.00263 0.00026
China  	484.0 	101.0 0.00128 0.00027
Oklahoma  	2978.0 	102.0 0.00785 0.00027
New_York_City  	610.0 	103.0 0.00161 0.00027
Maine  	1785.0 	104.0 0.0047 0.00027
Molybdenum  	4681.0 	105.0 0.01234 0.00028
Mobile_phone  	287.0 	106.0 0.00076 0.00028
Prison  	2344.0 	107.0 0.00618 0.00028
The_Walt_Disney_Company  	29.0 	108.0 8e-05 0.00028
Email  	333.0 	109.0 0.00088 0.00029
Telephone_directory  	25.0 	111.0 7e-05 0.00029
Mortgage_loan  	463.0 	112.0 0.00122 0.0003
Connecticut  	4586.0 	113.0 0.01209 0.0003
Tampa,_Florida  	1368.0 	114.0 0.00361 0.0003
Kentucky  	2079.0 	115.0 0.00548 0.0003
Honda  	179.0 	116.0 0.00047 0.00031
Software  	4138.0 	117.0 0.01091 0.00031
Computer  	336.0 	118.0 0.00089 0.00031
Fishing  	1116.0 	119.0 0.00294 0.00031
Coupon  	502.0 	120.0 0.00132 0.00032
Oh,_Pretty_Woman  	3208.0 	121.0 0.00846 0.00032
Truck  	617.0 	122.0 0.00163 0.00032
France  	436.0 	123.0 0.00115 0.00032
Library  	1953.0 	124.0 0.00515 0.00033
Bible  	485.0 	125.0 0.00128 0.00033
