www  	1.0 	1.0 0.0 0.0
florida  	8.0 	2.0 1e-05 0.0
texas  	20.0 	3.0 4e-05 1e-05
ohio  	77.0 	4.0 0.00014 1e-05
pa  	84.0 	5.0 0.00015 1e-05
edu  	21.0 	6.0 4e-05 1e-05
state  	23.0 	7.0 4e-05 1e-05
california  	1205.0 	8.0 0.00219 1e-05
new york  	55.0 	9.0 0.0001 2e-05
fl  	53.0 	10.0 0.0001 2e-05
hotel  	1024.0 	11.0 0.00186 2e-05
real estate  	43.0 	12.0 8e-05 2e-05
myspace  	2.0 	13.0 0.0 2e-05
restaurant  	1289.0 	14.0 0.00234 3e-05
michigan  	70.0 	15.0 0.00013 3e-05
new jersey  	122.0 	16.0 0.00022 3e-05
georgia  	135.0 	17.0 0.00024 3e-05
black  	11.0 	18.0 2e-05 3e-05
virginia  	130.0 	19.0 0.00024 3e-05
illinois  	608.0 	20.0 0.0011 4e-05
american  	19.0 	21.0 3e-05 4e-05
furniture  	13.0 	22.0 2e-05 4e-05
sex  	4.0 	23.0 1e-05 4e-05
maryland  	751.0 	24.0 0.00136 4e-05
chicago  	186.0 	25.0 0.00034 5e-05
indiana  	391.0 	26.0 0.00071 5e-05
baby  	18.0 	27.0 3e-05 5e-05
houston  	148.0 	28.0 0.00027 5e-05
hospital  	8868.0 	29.0 0.01609 5e-05
family  	41.0 	30.0 7e-05 5e-05
las vegas  	51.0 	31.0 9e-05 6e-05
nude  	3.0 	32.0 1e-05 6e-05
colorado  	223.0 	33.0 0.0004 6e-05
arizona  	190.0 	34.0 0.00034 6e-05
orlando  	191.0 	35.0 0.00035 6e-05
recipe  	1478.0 	36.0 0.00268 7e-05
baseball  	287.0 	37.0 0.00052 7e-05
north carolina  	74.0 	38.0 0.00013 7e-05
alabama  	98.0 	39.0 0.00018 7e-05
oregon  	325.0 	41.0 0.00059 7e-05
newspaper  	177.0 	42.0 0.00032 8e-05
atlanta  	225.0 	43.0 0.00041 8e-05
dog  	119.0 	44.0 0.00022 8e-05
om  	132.0 	45.0 0.00024 8e-05
n't  	7429.0 	46.0 0.01348 8e-05
miami  	309.0 	47.0 0.00056 9e-05
high school  	1181.0 	48.0 0.00214 9e-05
aol.com  	36.0 	49.0 7e-05 9e-05
golf  	3170.0 	50.0 0.00575 9e-05
tennessee  	182.0 	51.0 0.00033 9e-05
clothing  	92.0 	52.0 0.00017 9e-05
dallas  	272.0 	53.0 0.00049 0.0001
ford  	255.0 	54.0 0.00046 0.0001
white  	561.0 	55.0 0.00102 0.0001
shoes  	10.0 	56.0 2e-05 0.0001
basketball  	640.0 	57.0 0.00116 0.0001
wholesale  	296.0 	58.0 0.00054 0.00011
philadelphia  	2781.0 	59.0 0.00505 0.00011
department  	438.0 	60.0 0.00079 0.00011
gay  	26.0 	61.0 5e-05 0.00011
insurance  	9962.0 	62.0 0.01808 0.00011
los angeles  	187.0 	63.0 0.00034 0.00011
test  	405.0 	64.0 0.00073 0.00012
washington  	451.0 	65.0 0.00082 0.00012
pennsylvania  	9816.0 	66.0 0.01781 0.00012
cat  	236.0 	67.0 0.00043 0.00012
rent  	195.0 	68.0 0.00035 0.00012
wedding  	16.0 	69.0 3e-05 0.00013
hair  	97.0 	70.0 0.00018 0.00013
soccer  	1534.0 	71.0 0.00278 0.00013
cheats  	62.0 	72.0 0.00011 0.00013
tax  	596.0 	73.0 0.00108 0.00013
missouri  	574.0 	74.0 0.00104 0.00013
boston  	138.0 	75.0 0.00025 0.00014
discount  	49.0 	76.0 9e-05 0.00014
model  	569.0 	77.0 0.00103 0.00014
south carolina  	293.0 	78.0 0.00053 0.00014
mo  	8895.0 	79.0 0.01614 0.00014
wisconsin  	10181.0 	80.0 0.01847 0.00015
oklahoma  	9563.0 	82.0 0.01735 0.00015
san diego  	249.0 	83.0 0.00045 0.00015
maine  	964.0 	84.0 0.00175 0.00015
porn  	7.0 	85.0 1e-05 0.00015
louisiana  	378.0 	86.0 0.00069 0.00016
christian  	107.0 	87.0 0.00019 0.00016
tampa  	531.0 	88.0 0.00096 0.00016
massachusetts  	5176.0 	89.0 0.00939 0.00016
oh  	1500.0 	90.0 0.00272 0.00016
disney  	9.0 	91.0 2e-05 0.00017
kentucky  	1427.0 	92.0 0.00259 0.00017
mexico  	467.0 	93.0 0.00085 0.00017
software  	3928.0 	94.0 0.00713 0.00017
fishing  	1625.0 	95.0 0.00295 0.00017
iowa  	1393.0 	96.0 0.00253 0.00017
horse  	79.0 	97.0 0.00014 0.00018
computer  	80.0 	98.0 0.00015 0.00018
truck  	88.0 	99.0 0.00016 0.00018
honda  	105.0 	100.0 0.00019 0.00018
naked  	14.0 	101.0 3e-05 0.00018
spa  	940.0 	102.0 0.00171 0.00019
bar  	6745.0 	103.0 0.01224 0.00019
